Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,8.32,534.2790265339901,ABB00234,Martin Miller
10-20%,8.94,574.0930886074364,ABB00234,Martin Miller
20-30%,35.339999999999996,2269.401538186443,ABB00234,Martin Miller
30-40%,42.69,2741.3908224442343,ABB00234,Martin Miller
40-50%,4.35,279.3405968056318,ABB00234,Martin Miller
50-60%,0.19,12.201083538636793,ABB00234,Martin Miller
60-70%,0.04,2.568649166028798,ABB00234,Martin Miller
70-80%,0.04,2.568649166028798,ABB00234,Martin Miller
80-90%,0.0,0.0,ABB00234,Martin Miller
90-100%,0.04,2.568649166028798,ABB00234,Martin Miller
100-110%,0.0,0.0,ABB00234,Martin Miller
