Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,12.839999999999998,6816.849692808723,ABB00231,Martin Miller
10-20%,14.32,7602.592492291351,ABB00231,Martin Miller
20-30%,19.3,10246.510831090996,ABB00231,Martin Miller
30-40%,41.48,22022.034677391424,ABB00231,Martin Miller
40-50%,11.98,6360.269417433687,ABB00231,Martin Miller
50-60%,0.04,21.2362918779088,ABB00231,Martin Miller
60-70%,0.0,0.0,ABB00231,Martin Miller
70-80%,0.04,21.2362918779088,ABB00231,Martin Miller
80-90%,0.0,0.0,ABB00231,Martin Miller
90-100%,0.0,0.0,ABB00231,Martin Miller
100-110%,0.0,0.0,ABB00231,Martin Miller
