RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,SLM00548,Jim O'Brien
100-200,0.0,0.0,SLM00548,Jim O'Brien
200-300,0.0,0.0,SLM00548,Jim O'Brien
300-400,0.0,0.0,SLM00548,Jim O'Brien
400-500,0.0,0.0,SLM00548,Jim O'Brien
500-600,0.0,0.0,SLM00548,Jim O'Brien
600-700,0.0,0.0,SLM00548,Jim O'Brien
700-800,0.0,0.0,SLM00548,Jim O'Brien
800-900,0.03,0.9231007384800003,SLM00548,Jim O'Brien
900-1000,0.0,0.0,SLM00548,Jim O'Brien
1000-1100,0.0,0.0,SLM00548,Jim O'Brien
1100-1200,0.0,0.0,SLM00548,Jim O'Brien
1200-1300,0.0,0.0,SLM00548,Jim O'Brien
1300-1400,0.0,0.0,SLM00548,Jim O'Brien
1400-1500,0.03,0.9231007384800003,SLM00548,Jim O'Brien
1500-1600,0.0,0.0,SLM00548,Jim O'Brien
1600-1700,0.0,0.0,SLM00548,Jim O'Brien
1700-1800,30.3,932.3317458648003,SLM00548,Jim O'Brien
1800-1900,69.64,2142.824514258241,SLM00548,Jim O'Brien
