Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.0,0.0,ABA00223,Lewis Hamilton
10-20%,20.36,565.1940521548802,ABA00223,Lewis Hamilton
20-30%,43.19,1198.9553591635204,ABA00223,Lewis Hamilton
30-40%,25.650000000000002,712.0445696352003,ABA00223,Lewis Hamilton
40-50%,8.21,227.90978232768012,ABA00223,Lewis Hamilton
50-60%,2.4699999999999998,68.56725485376002,ABA00223,Lewis Hamilton
60-70%,0.11,3.053602442880001,ABA00223,Lewis Hamilton
70-80%,0.0,0.0,ABA00223,Lewis Hamilton
80-90%,0.0,0.0,ABA00223,Lewis Hamilton
90-100%,0.0,0.0,ABA00223,Lewis Hamilton
100-110%,0.0,0.0,ABA00223,Lewis Hamilton
