Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.13999999999999999,6.117018671388802,ABB00240,SS Moretti
10-20%,6.4,279.6351392634881,ABB00240,SS Moretti
20-30%,19.38,846.7701560822499,ABB00240,SS Moretti
30-40%,41.089999999999996,1795.3449800526134,ABB00240,SS Moretti
40-50%,20.349999999999998,889.1523568768722,ABB00240,SS Moretti
50-60%,11.48,501.59553105388187,ABB00240,SS Moretti
60-70%,1.04,45.44071013031682,ABB00240,SS Moretti
70-80%,0.06999999999999999,3.058509335694401,ABB00240,SS Moretti
80-90%,0.0,0.0,ABB00240,SS Moretti
90-100%,0.04,1.7477196203968008,ABB00240,SS Moretti
100-110%,0.0,0.0,ABB00240,SS Moretti
