RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABC00575,Ilhas Maldivas
100-200,0.0,0.0,ABC00575,Ilhas Maldivas
200-300,0.0,0.0,ABC00575,Ilhas Maldivas
300-400,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
400-500,0.0,0.0,ABC00575,Ilhas Maldivas
500-600,0.0,0.0,ABC00575,Ilhas Maldivas
600-700,0.0,0.0,ABC00575,Ilhas Maldivas
700-800,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
800-900,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
900-1000,0.0,0.0,ABC00575,Ilhas Maldivas
1000-1100,0.0,0.0,ABC00575,Ilhas Maldivas
1100-1200,0.0,0.0,ABC00575,Ilhas Maldivas
1200-1300,0.0,0.0,ABC00575,Ilhas Maldivas
1300-1400,0.0,0.0,ABC00575,Ilhas Maldivas
1400-1500,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
1500-1600,0.0,0.0,ABC00575,Ilhas Maldivas
1600-1700,0.0,0.0,ABC00575,Ilhas Maldivas
1700-1800,40.050000000000004,1757.795906235599,ABC00575,Ilhas Maldivas
1800-1900,59.86,2627.257501804318,ABC00575,Ilhas Maldivas
