RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABC00547,Hendrix
100-200,0.0,0.0,ABC00547,Hendrix
200-300,0.0,0.0,ABC00547,Hendrix
300-400,0.0,0.0,ABC00547,Hendrix
400-500,0.0,0.0,ABC00547,Hendrix
500-600,0.0,0.0,ABC00547,Hendrix
600-700,0.0,0.0,ABC00547,Hendrix
700-800,0.0,0.0,ABC00547,Hendrix
800-900,0.0,0.0,ABC00547,Hendrix
900-1000,0.0,0.0,ABC00547,Hendrix
1000-1100,0.0,0.0,ABC00547,Hendrix
1100-1200,0.0,0.0,ABC00547,Hendrix
1200-1300,0.0,0.0,ABC00547,Hendrix
1300-1400,0.0,0.0,ABC00547,Hendrix
1400-1500,0.0,0.0,ABC00547,Hendrix
1500-1600,0.0,0.0,ABC00547,Hendrix
1600-1700,0.0,0.0,ABC00547,Hendrix
1700-1800,35.74,1796.2938370339198,ABC00547,Hendrix
1800-1900,64.25999999999999,3229.7101837660794,ABC00547,Hendrix
